CustomerId,Geography,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,CreditLevel
15762418,Spain,3,121681.82,1,1,0,128643.35,1,8
15749905,Spain,6,0.0,1,1,0,50213.81,1,7
15600911,France,2,182888.08,1,1,0,3061.0,0,7
15572762,Germany,2,102278.79,2,1,0,89822.48,0,2
15627848,France,7,109346.13,2,1,0,102665.92,0,7
15672894,France,8,129944.39,2,0,0,198914.8,0,6
15734659,Germany,5,107978.4,2,1,0,155876.06,0,6
15593470,Germany,8,166287.85,1,1,1,23305.85,0,5
15669606,France,5,0.0,2,1,0,138017.68,0,7
15664521,Spain,7,149620.88,2,1,1,104533.51,0,7
15678284,France,7,74623.5,3,1,0,129451.29,1,6
15638806,Spain,2,0.0,2,0,0,10023.15,0,6
15677288,France,3,121159.65,1,0,0,4033.39,1,5
15746805,France,9,0.0,2,1,0,49374.82,0,5
15644132,France,9,142475.87,1,1,1,107848.24,0,8
15705379,France,3,0.0,2,1,0,66561.6,0,7
15674331,Germany,7,132174.41,2,0,0,93767.03,0,5
15720050,France,2,110997.76,1,1,0,101433.76,0,8
15605835,France,8,69143.91,2,0,1,105780.18,0,8
15575623,France,10,110635.32,1,1,0,148218.86,0,5
15628583,France,5,0.0,2,0,1,161388.22,0,7
15592412,Germany,4,131038.14,1,1,0,74005.04,1,8
15739123,Germany,4,127552.85,2,1,0,4225.11,0,8
15766741,France,2,114628.4,1,0,1,168290.06,0,4
15675450,France,9,0.0,2,1,1,72105.63,0,8
15726796,France,7,111501.66,1,1,1,119333.38,0,10
15566958,Spain,7,167557.12,1,1,1,41183.02,0,7
15628203,France,3,104339.56,1,0,0,119882.86,0,6
15742009,Spain,4,0.0,2,1,1,191419.32,0,3
15752375,Germany,8,149564.61,1,0,0,149913.84,0,6
15761706,Spain,8,144102.32,1,1,1,11682.36,0,7
15609643,Germany,9,115587.49,2,0,1,101677.46,0,8
15606435,Germany,2,187013.13,2,0,1,105898.69,0,5
15718921,Spain,7,106957.28,1,1,1,134794.02,0,6
15774151,Spain,7,179915.85,1,0,0,14666.35,1,6
15603594,Spain,4,0.0,2,1,1,70668.77,0,6
15691543,Germany,2,142537.18,1,1,1,88791.83,0,5
15787189,Germany,8,134250.17,3,0,0,153046.16,1,10
15763274,France,3,120320.54,1,0,0,96463.25,0,7
15728542,France,4,0.0,2,1,1,107236.87,0,10
15724620,France,1,134752.08,1,1,0,162511.55,0,4
15655082,France,4,112070.86,3,1,0,173568.3,1,6
15797964,Germany,1,154333.82,1,1,1,138527.56,0,8
15709117,Spain,3,81576.75,1,1,1,28370.95,1,10
15806486,France,0,0.0,2,0,0,149772.61,0,7
15588446,Spain,3,0.0,2,0,0,131281.28,0,5
15799300,Germany,0,113688.63,1,1,0,33099.41,1,4
15706199,Germany,6,96643.32,1,0,0,182059.28,0,6
15780088,Spain,9,132439.99,1,1,0,177747.72,0,6
15793196,France,9,0.0,2,0,1,190294.12,0,8
15706186,Germany,8,81677.22,2,0,0,34925.56,0,6
15644296,France,8,105209.54,1,1,0,1852.58,0,8
15759913,Germany,6,85200.82,2,1,1,160574.09,0,5
15644453,Germany,4,132670.53,1,1,0,156476.36,1,6
15789109,France,10,0.0,1,1,1,144272.71,1,7
15713644,Spain,5,0.0,2,1,0,158974.45,0,7
15570289,Germany,8,103409.16,1,1,0,66893.28,1,7
15599452,Germany,8,125338.8,2,1,0,23970.13,0,6
15698619,France,9,0.0,2,1,1,76357.43,0,5
15800228,Spain,4,0.0,2,1,1,38152.01,0,6
15626983,Spain,6,0.0,2,1,1,40062.99,0,6
15622911,France,4,105420.18,1,0,1,121409.06,0,8
15733888,Spain,3,133686.52,1,1,0,190958.48,1,7
15758039,France,6,0.0,2,0,1,104930.46,0,6
15611767,Germany,0,133723.43,1,0,0,4859.59,1,6
15675518,Spain,1,75225.53,2,0,0,144849.1,1,4
15808182,Spain,3,92363.3,2,1,0,44912.7,0,3
15615575,France,8,0.0,2,1,1,133447.49,0,8
15595010,Spain,9,0.0,2,0,0,99924.04,0,7
15743538,France,1,0.0,2,1,0,20081.3,0,7
15731026,Germany,2,100062.16,2,1,0,109201.43,0,7
15722599,France,9,183613.66,2,0,0,49734.94,0,8
15636353,Spain,4,0.0,2,0,0,9541.15,0,4
15773283,France,6,38340.02,1,1,0,32607.77,1,6
15709476,Spain,3,99945.93,2,1,0,71179.31,0,10
15628813,France,4,152341.55,1,1,0,9241.78,0,7
15696047,France,6,99760.84,1,1,1,13591.52,0,4
15607748,Germany,8,108432.88,2,1,1,14865.05,0,4
15679294,France,10,107238.85,2,1,0,37024.28,0,5
15654519,France,1,0.0,2,1,1,3148.2,0,7
15679148,France,3,115451.05,2,0,0,67234.33,0,4
15799479,Spain,9,0.0,1,1,1,124045.65,0,9
15687946,France,2,117419.35,1,1,1,94153.83,0,5
15614740,France,6,135203.81,2,1,1,121967.88,0,7
15726494,France,9,175303.06,1,1,0,65500.53,1,3
15728829,France,7,102983.91,1,1,0,171770.58,0,4
15813192,France,6,0.0,2,0,1,109988.09,0,4
15570141,France,3,132352.69,1,1,0,80320.3,0,8
15727197,France,9,170228.59,2,0,0,148477.57,1,5
15685805,Spain,6,0.0,2,1,0,98618.79,0,7
15649086,France,7,0.0,2,1,1,121568.37,0,5
15621440,France,1,0.0,2,0,1,156858.2,0,7
15750549,Germany,1,84440.1,2,1,1,60485.98,0,7
15713774,Spain,6,12459.19,1,0,0,156787.34,1,6
15811026,Germany,5,136855.94,2,1,0,171070.52,0,4
15702430,France,10,0.0,1,1,1,31299.71,0,5
15683544,Spain,3,0.0,1,1,1,65010.74,0,6
15671243,France,9,0.0,2,1,0,103787.28,0,5
15694408,France,1,139290.41,1,1,0,182855.42,1,8
15587596,Spain,8,107553.33,1,1,0,117523.41,0,6
15600991,Germany,6,109052.59,2,1,1,19448.93,1,7
15688059,Germany,9,105356.09,2,1,1,130489.37,0,9
15787699,Germany,4,142393.11,1,1,1,11276.48,0,6
