CustomerId,Geography,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,CreditLevel
15647311,Spain,1,83807.86,1,0,1,112542.58,0,
15619304,France,8,159660.8,3,1,0,113931.57,1,
15574012,Spain,8,113755.78,2,1,0,149756.71,1,
15792365,France,4,142051.07,2,0,1,74940.5,0,
15568982,France,6,0.0,2,1,1,54724.03,0,
15700772,France,9,0.0,2,0,0,38433.35,0,
15656300,France,0,59697.17,2,1,1,53483.21,0,
15768193,Germany,5,146050.97,2,0,0,86424.57,0,
15760861,France,1,125211.92,1,1,1,113410.49,0,
15630053,France,5,127864.4,1,1,0,87107.57,0,
15623944,Spain,4,0.0,1,1,0,1643.11,1,
15702014,Spain,1,56084.69,2,0,0,178798.13,0,
15696061,Germany,1,101633.04,1,1,0,110431.51,0,
15641582,Germany,10,123180.01,2,1,1,196673.28,0,
15620344,France,6,0.0,1,1,0,33953.87,0,
15663706,France,2,0.0,1,1,0,136458.19,1,
15641732,France,3,0.0,2,0,0,26019.59,0,
15809248,France,10,0.0,2,1,0,109614.57,0,
15693683,Germany,8,97086.4,2,1,1,197276.13,0,
15743192,France,6,0.0,2,0,0,167162.43,0,
15665790,Germany,7,108055.1,2,1,0,27231.26,0,
15580203,Spain,6,120193.42,1,0,0,100130.95,0,
15610156,France,2,133463.1,1,0,1,93165.34,0,
15724944,France,7,0.0,2,1,1,180427.24,0,
15713483,Spain,2,0.0,1,1,0,159123.82,1,
15703264,France,9,120681.63,1,1,0,74836.34,0,
15811589,Spain,8,0.0,2,1,0,180800.42,0,
15692132,Spain,6,101060.25,1,0,1,84699.56,0,
15585388,Germany,9,125189.75,2,1,1,139874.43,0,
15625426,Germany,3,161608.81,1,1,0,8080.85,1,
15702741,France,8,93012.89,1,1,0,86957.42,0,
15600974,Spain,5,0.0,1,0,1,146145.93,1,
15624592,France,8,0.0,2,1,1,169915.02,0,
15785542,Germany,4,118287.01,2,0,0,60427.3,0,
15680920,France,7,49512.55,1,1,0,133007.34,0,
15733247,France,10,0.0,1,1,0,4861.72,1,
15794056,France,2,0.0,3,1,0,89048.46,1,
15813844,France,8,105961.68,2,0,1,74158.8,0,
15596175,Germany,6,117411.6,1,1,1,45071.09,1,
15685500,Germany,7,152400.51,2,1,0,79414.0,0,
15657566,Germany,8,103097.85,1,1,1,157577.29,0,
15753754,Spain,1,0.0,2,1,1,97932.68,0,
15787071,Spain,9,0.0,2,0,1,191599.67,0,
15758685,Spain,7,0.0,2,1,1,110899.3,0,
15652266,Germany,9,63227.0,1,0,1,137316.32,0,
15785819,France,3,0.0,2,1,1,112491.96,0,
15746726,Germany,8,78398.69,1,1,0,44937.01,0,
15626114,France,4,95741.75,1,1,0,46170.75,0,
15742668,Spain,6,108269.37,1,1,0,5597.94,0,
15636624,Spain,5,165272.13,1,1,0,14109.85,1,
15786170,France,4,118342.26,1,0,0,161574.19,0,
15576256,France,5,0.0,2,1,1,129892.93,0,
15611759,Spain,8,126776.3,2,1,1,132298.49,0,
15774696,Germany,1,106307.91,2,0,1,113428.77,0,
15684548,Spain,8,0.0,2,0,0,417.41,1,
15710825,Spain,7,110071.1,1,0,0,43921.36,0,
15613786,Spain,4,0.0,2,1,1,167036.94,0,
15683625,France,1,149762.08,1,1,0,20629.4,1,
15635367,France,2,93844.69,1,1,0,28415.36,0,
15797736,France,4,80262.6,1,1,1,20612.82,0,
15731744,France,2,0.0,2,0,1,130486.57,0,
15807709,Germany,9,180075.22,1,1,1,100127.71,0,
15733616,France,5,80613.93,1,1,1,142838.64,0,
15727688,Spain,4,0.0,2,1,1,54405.79,0,
15730059,Spain,9,77637.35,2,1,1,111346.22,0,
15677307,Germany,6,137326.65,1,1,0,186976.6,0,
15786063,France,2,0.0,2,1,1,112349.51,0,
15776780,France,1,0.0,1,1,0,70649.64,1,
15667896,France,8,151226.18,2,1,1,136129.49,0,
15709324,France,7,0.0,2,1,0,55003.79,0,
15689614,Spain,1,137715.66,1,1,1,37938.74,0,
15795564,Germany,5,121192.22,2,1,1,74890.58,0,
15753719,Germany,9,72392.41,1,1,0,77077.14,0,
15680998,France,5,0.0,1,1,1,117356.14,0,
15607170,France,5,0.0,2,1,1,78397.24,0,
15646161,Spain,8,0.0,2,1,1,183318.79,0,
15773456,Germany,3,145747.67,2,0,1,89566.74,0,
15805112,France,7,82259.29,1,1,0,8996.97,0,
15692926,Germany,8,121702.73,1,1,1,132210.49,0,
15667215,France,2,0.0,2,1,1,58803.28,0,
15788659,France,4,0.0,2,1,1,137537.22,0,
15763218,France,1,0.0,2,0,1,131300.68,0,
15645772,France,9,0.0,2,1,1,84174.81,0,
15715142,Germany,7,102703.62,1,0,1,147802.94,1,
15803457,France,5,0.0,2,1,0,95611.47,0,
15659098,France,7,95128.86,1,0,0,19799.26,0,
15723873,Spain,3,125167.02,1,0,0,98820.39,0,
15716835,France,8,156325.38,1,1,1,125381.02,0,
15790314,France,0,0.0,2,0,1,130567.02,0,
15634245,Germany,9,95523.16,1,1,0,73294.48,0,
15685997,Spain,5,166733.92,2,1,0,14279.44,0,
15637876,Germany,6,77253.5,1,0,0,35817.97,1,
15672056,Germany,2,140080.32,3,1,1,157908.19,1,
15640442,France,4,129722.57,1,0,0,41176.6,0,
15737051,France,8,0.0,2,1,0,192247.35,0,
15745196,France,8,0.0,2,0,0,84569.13,0,
15769504,Germany,1,131736.88,1,1,1,108543.21,0,
15567367,Germany,9,133636.16,1,0,1,103315.74,0,
15681554,Germany,7,120599.38,2,1,1,46163.44,0,
15716155,France,5,156021.31,1,0,0,122662.98,0,
15639788,France,10,0.0,2,1,0,10553.31,0,
15592222,France,7,80001.23,1,0,0,135180.11,0,
15782390,France,6,0.0,1,1,0,155155.25,0,
15566091,Spain,4,0.0,1,1,0,94739.2,0,
15745324,Spain,4,0.0,1,1,0,194273.2,1,
15783659,France,4,145981.87,1,1,1,131043.2,0,
15801488,France,3,0.0,2,1,1,134509.47,0,
15705620,France,5,122453.37,2,1,0,138882.98,0,
15642937,France,7,0.0,2,1,0,130590.35,0,
15782899,Spain,7,95357.49,1,0,0,102297.15,0,
15633897,Germany,1,50880.98,2,1,1,184023.54,0,
15573086,France,7,99824.45,1,1,1,36721.4,0,
15569050,France,6,0.0,1,1,0,130009.85,1,
15585961,Spain,3,0.0,2,0,1,199505.53,0,
15770424,Germany,7,95710.11,2,1,0,49063.42,0,
15705860,Germany,3,107949.45,1,1,0,52449.62,1,
15650933,Spain,8,155413.06,1,1,0,187921.3,0,
15692744,France,4,152169.12,2,0,0,38629.3,1,
15590476,France,7,0.0,2,1,0,151645.96,0,
15723250,France,8,0.0,2,1,1,101485.72,0,
15592583,France,1,115414.19,3,0,0,191734.67,1,
15593973,Spain,8,122528.18,1,1,0,196260.3,0,
15647301,Germany,3,143734.01,2,1,1,96404.38,0,
15569247,Spain,1,109679.72,1,0,1,753.37,0,
15651369,France,1,0.0,2,1,0,66232.23,0,
15795228,France,3,132623.6,1,1,1,58974.0,0,
15589257,France,3,103465.02,2,1,1,174627.06,0,
15678058,France,9,104584.16,1,1,0,176678.72,0,
15724334,France,5,0.0,1,1,0,151169.83,0,
15599268,Spain,5,0.0,2,1,0,10956.82,0,
15697625,France,2,163789.49,2,1,0,75832.53,0,
15619626,France,3,137492.35,2,0,1,170142.09,0,
15760774,France,1,146329.57,2,1,1,194867.27,0,
